hindi,punjabi
तुम कैसे हो?,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ?
"मैं ठीक हूँ, धन्यवाद।","ਮੈਂ ਠੀਕ ਹਾਂ, ਧੰਨਵਾਦ।"
क्या तुम घर जा रहे हो?,ਕੀ ਤੁਸੀਂ ਘਰ ਜਾ ਰਹੇ ਹੋ?
मुझे पानी चाहिए.,ਮੈਨੂੰ ਪਾਣੀ ਚਾਹੀਦਾ ਹੈ।
यह मेरा घर है.,ਇਹ ਮੇਰਾ ਘਰ ਹੈ।
आज मौसम अच्छा है.,ਅੱਜ ਮੌਸਮ ਵਧੀਆ ਹੈ।
खाना तैयार है.,ਖਾਣਾ ਤਿਆਰ ਹੈ।
"नमस्ते, आपका दिन शुभ हो.","ਸਤ ਸ੍ਰੀ ਅਕਾਲ, ਤੁਹਾਡਾ ਦਿਨ ਸ਼ੁਭ ਹੋਵੇ।"
अच्छे रिजल्ट लेन के लिए,ਚੰਗੇ ਨਤੀਜੇ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ
शिक्षा हमारे भविष्य का आधार है।,ਸਿੱਖਿਆ ਸਾਡੇ ਭਵਿੱਖ ਦਾ ਆਧਾਰ ਹੈ।
हमें एक दूसरे के साथ मिलकर काम करना चाहिए।,ਸਾਨੂੰ ਇੱਕ ਦੂਜੇ ਨਾਲ ਮਿਲ ਕੇ ਕੰਮ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।
सुप्रभात, आपका दिन अच्छा रहे.,ਸ਼ੁਭ ਸਵੇਰ, ਤੁਹਾਡਾ ਦਿਨ ਚੰਗਾ ਰਹੇ।
मुझे भूख लगी है.,ਮੈਨੂੰ ਭੁੱਖ ਲੱਗੀ ਹੈ।
मुझे नींद आ रही है.,ਮੈਨੂੰ ਨੀਂਦ ਆ ਰਹੀ ਹੈ।
कृपया दरवाज़ा बंद कर दो.,ਕਿਰਪਾ ਕਰਕੇ ਦਰਵਾਜ਼ਾ ਬੰਦ ਕਰ ਦਿਓ।
यह किताब बहुत अच्छी है.,ਇਹ ਕਿਤਾਬ ਬਹੁਤ ਚੰਗੀ ਹੈ।
